,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 13, 11:00 am",-0.155,0,0.968772,228,1.365
"Jan 13, 12:00 pm",-0.128,0,0.968041,267,1.64
"Jan 13, 01:00 pm",0.489,0,0.967404,271,1.832
"Jan 13, 02:00 pm",1.633,0,0.967011,260,1.701
"Jan 13, 03:00 pm",2.87,0,0.966358,219,1.226
"Jan 13, 04:00 pm",4.252,0,0.965289,216,1.897
"Jan 13, 05:00 pm",5.424,0,0.964286,216,2.579
"Jan 13, 06:00 pm",6.124,739.263,0.963536,218,3.69
"Jan 13, 07:00 pm",6.742,1640.32,0.962697,221,4.128
"Jan 13, 08:00 pm",7.093,2119.72,0.961998,224,4.307
"Jan 13, 09:00 pm",6.135,3450.33,0.962098,226,4.766
"Jan 13, 10:00 pm",3.552,12004.8,0.962337,233,6.513
"Jan 13, 11:00 pm",3.316,48419.4,0.962896,283,10.48
"Jan 14, 12:00 am",3.119,52769.7,0.962868,295,10.893
"Jan 14, 01:00 am",1.357,43378.5,0.963153,306,9.935
"Jan 14, 02:00 am",1.323,58294.2,0.964014,324,12.778
"Jan 14, 03:00 am",0.684,58475.8,0.964767,331,13.142
"Jan 14, 04:00 am",-0.326,58725.3,0.96531,336,13.257
"Jan 14, 05:00 am",-1.241,48239.1,0.965782,335,10.455
"Jan 14, 06:00 am",-2.259,37495.6,0.966546,325,9.366
"Jan 14, 07:00 am",-2.1,30629.9,0.967107,325,8.676
"Jan 14, 08:00 am",-2.961,7686.03,0.967743,340,5.697
"Jan 14, 09:00 am",-3.239,11509.5,0.968339,345,6.324
"Jan 14, 10:00 am",-3.131,1712.36,0.968902,6,4.128
"Jan 14, 11:00 am",-3.109,0,0.969676,45,2.346
"Jan 14, 12:00 pm",-3.146,0,0.970412,57,2.702
"Jan 14, 01:00 pm",-2.606,0,0.970785,74,1.948
"Jan 14, 02:00 pm",-1.498,0,0.971034,129,1.392
"Jan 14, 03:00 pm",-0.33,0,0.970754,195,2.008
"Jan 14, 04:00 pm",0.96,0,0.970265,202,3.425
"Jan 14, 05:00 pm",2.177,2219.66,0.969865,197,4.334
"Jan 14, 06:00 pm",3.421,3160.88,0.969485,204,4.714
"Jan 14, 07:00 pm",4.41,5539.06,0.969335,205,5.354
"Jan 14, 08:00 pm",4.602,11780.1,0.968946,208,6.531
"Jan 14, 09:00 pm",3.569,20783.7,0.968832,206,7.713
"Jan 14, 10:00 pm",1.2,35485.3,0.968843,207,9.249
"Jan 14, 11:00 pm",0.533,57508.6,0.968748,206,11.696
"Jan 15, 12:00 am",0.776,58692.9,0.968674,211,12.497
"Jan 15, 01:00 am",0.763,58700.7,0.968757,219,13.817
"Jan 15, 02:00 am",0.674,58730.1,0.968927,228,12.243
"Jan 15, 03:00 am",-0.993,35029.6,0.969028,245,9.037
"Jan 15, 04:00 am",-0.584,17720.6,0.968699,262,7.273
"Jan 15, 05:00 am",-0.693,17044.4,0.96852,281,7.159
"Jan 15, 06:00 am",-0.248,39613.6,0.968566,283,9.592
"Jan 15, 07:00 am",0.282,58805.9,0.968789,292,13.817
"Jan 15, 08:00 am",-0.025,58891.4,0.969108,293,13.677
"Jan 15, 09:00 am",-0.361,59013.7,0.969927,295,12.802
"Jan 15, 10:00 am",-0.605,59099.5,0.970467,291,13.262
"Jan 15, 11:00 am",-1.267,56774.5,0.971168,295,11.262
"Jan 15, 12:00 pm",-1.619,34954.3,0.971903,314,9.005
"Jan 15, 01:00 pm",-1.665,9991.11,0.972865,337,6.131
"Jan 15, 02:00 pm",-1.34,9820.31,0.973456,339,6.094
"Jan 15, 03:00 pm",-0.979,13024.4,0.974101,339,6.659
"Jan 15, 04:00 pm",-0.65,11022.8,0.974322,336,6.304
"Jan 15, 05:00 pm",0.04,8428.31,0.974744,330,5.864
"Jan 15, 06:00 pm",0.363,10913.2,0.975009,323,6.224
"Jan 15, 07:00 pm",0.408,8305.98,0.975226,327,5.819
