,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Mar 19, 10:00 am",2640.76,18.2,33.9,916,2744.47,99,761,43.2701,876.143,2.64076,1,1,873.524,1.5
"Mar 19, 11:00 am",2929.5,20.4,20.5431,866,3046.08,148,854,46.4822,986.24,2.9295,1,1,985.8,2.1
"Mar 19, 12:00 pm",2943.94,22.6,11.7975,810,3061.18,183,873,49.3352,1005.77,2.94394,1,1,1005.69,2.1
"Mar 19, 01:00 pm",2982.65,23.3,17.3445,896,3101.68,143,887,50.5254,1025.74,2.98265,1,1,1025.47,2.1
"Mar 19, 02:00 pm",2737.3,24.1,30.1142,908,2845.22,106,789,43.6299,908.953,2.7373,1,1,907.269,4.3
"Mar 19, 03:00 pm",2222.67,24.9,44.2354,858,2309.18,98,633,40.6196,731.909,2.22267,1,1,725.095,4.3
"Mar 19, 04:00 pm",1464.65,24.8,58.7303,710,1524.22,99,420,35.0922,483.164,1.46465,1,1,465.561,4.3
"Mar 19, 05:00 pm",633.042,24.7,73.3524,534,669.249,67,200,29.1938,228.166,0.633042,1,1,198.636,4.3
"Mar 19, 06:00 pm",3.57423,24.6,85.0793,62,26.3131,5,10,23.9881,10.8313,0.00357423,1,3,7.61965,4.3
"Mar 19, 07:00 pm",0,23.5,0,0,0,0,0,23.5,0,0,1,0,0,4.3
"Mar 19, 08:00 pm",0,22.5,0,0,0,0,0,22.5,0,0,1,0,0,6
"Mar 19, 09:00 pm",0,21.4,0,0,0,0,0,21.4,0,0,1,0,0,6
"Mar 19, 10:00 pm",0,20.3,0,0,0,0,0,20.3,0,0,1,0,0,6
"Mar 19, 11:00 pm",0,19.1,0,0,0,0,0,19.1,0,0,1,0,0,4.8
"Mar 20, 12:00 am",0,18,0,0,0,0,0,18,0,0,1,0,0,4.8
"Mar 20, 01:00 am",0,17.2,0,0,0,0,0,17.2,0,0,1,0,0,4.8
"Mar 20, 02:00 am",0,16.5,0,0,0,0,0,16.5,0,0,1,0,0,1.8
"Mar 20, 03:00 am",0,15.8,0,0,0,0,0,15.8,0,0,1,0,0,1.8
"Mar 20, 04:00 am",0,14.7,0,0,0,0,0,14.7,0,0,1,0,0,1.8
"Mar 20, 05:00 am",0,13.6,0,0,0,0,0,13.6,0,0,1,0,0,2.7
"Mar 20, 06:00 am",0,12.6,87.0301,57,16.4503,4,6,10.9497,6.66195,0,1,2,4.48979,2.7
"Mar 20, 07:00 am",433.531,13.3,77.1991,285,465.08,81,137,15.2243,146.992,0.433531,1,1,129.373,2.7
"Mar 20, 08:00 am",1384.54,14,62.5561,705,1441.58,97,382,21.8887,435.815,1.38454,1,1,413.388,4.5
"Mar 20, 09:00 am",2200.92,14.7,47.9917,863,2286.58,90,595,28.2616,685.129,2.20092,1,1,675.646,4.5
"Mar 20, 10:00 am",2762.59,16.9,33.6901,917,2871.63,99,766,34.8667,878.702,2.76259,1,1,876.141,4.5
"Mar 20, 11:00 am",3070.49,19,20.2573,905,3193.65,138,879,41.2766,1006.62,3.07049,1,1,1006.18,3.8
"Mar 20, 12:00 pm",3066.44,21.1,11.3954,832,3189.4,173,884,43.7931,1017.95,3.06644,1,1,1017.87,3.8
"Mar 20, 01:00 pm",3032.04,22.1,17.1365,871,3153.38,151,877,44.6368,1011.03,3.03204,1,1,1010.78,3.8
"Mar 20, 02:00 pm",2782.54,23.1,30.0275,927,2892.47,100,801,42.6867,919.576,2.78254,1,1,917.874,4.4
"Mar 20, 03:00 pm",2254.93,24,44.1961,841,2342.71,116,643,39.7755,739.144,2.25493,1,1,732.487,4.4
"Mar 20, 04:00 pm",1456.32,24.1,58.7132,690,1515.62,104,417,34.1795,477.947,1.45632,1,1,460.86,4.4
"Mar 20, 05:00 pm",620.644,24.2,73.3465,502,656.551,70,196,28.3545,221.84,0.620644,1,1,194.086,4.6
"Mar 20, 06:00 pm",11.6767,24.3,85.159,129,34.5661,5,14,23.7969,16.6277,0.0116767,1,3,10.0006,4.6
"Mar 20, 07:00 pm",0,23.2,0,0,0,0,0,23.2,0,0,1,0,0,4.6
"Mar 20, 08:00 pm",0,22.1,0,0,0,0,0,22.1,0,0,1,0,0,6.6
